iter	Passed	Remaining
571	31162	23317
572	31210	23258
573	31255	23196
574	31309	23141
575	31353	23079
576	31395	23016
577	31452	22963
578	31493	22899
579	31536	22836
580	31581	22775
581	31635	22720
582	31702	22675
583	31745	22613
584	31791	22553
585	31836	22491
586	31882	22431
587	31922	22367
588	31971	22309
589	32021	22251
590	32077	22199
591	32150	22158
592	32250	22134
593	32312	22085
594	32368	22032
595	32434	21986
596	32495	21935
597	32549	21881
598	32616	21834
599	32672	21781
600	32732	21731
601	32789	21678
602	32855	21631
603	32973	21618
604	33070	21591
605	33173	21568
606	33294	21556
607	33376	21519
608	33484	21498
609	33631	21502
610	33789	21512
611	34053	21589
612	34262	21630
613	34425	21642
614	34478	21583
615	34534	21528
616	34601	21478
617	34658	21423
618	34728	21375
619	34777	21315
620	34824	21253
621	34868	21189
622	34922	21132
623	34994	21086
624	35058	21035
625	35132	20989
626	35205	20943
627	35375	20954
628	35494	20935
629	35633	20927
630	35691	20872
631	35759	20822
632	35844	20781
633	35905	20727
634	35958	20669
635	36016	20612
636	36120	20583
637	36290	20591
638	36361	20542
639	36406	20478
640	36449	20414
641	36495	20351
642	36615	20329
643	36742	20310
644	36790	20249
645	36841	20188
646	36891	20128
647	36937	20064
648	36979	19999
649	37031	19940
650	37119	19899
651	37195	19853
652	37252	19795
653	37311	19739
654	37366	19681
655	37410	19617
656	37464	19558
657	37511	19496
658	37561	19436
659	37657	19399
660	37725	19347
661	37777	19288
662	37826	19226
663	37882	19169
664	37930	19107
665	37977	19045
666	38026	18984
667	38069	18920
668	38122	18861
669	38180	18805
670	38235	18747
671	38284	18686
672	38323	18620
673	38370	18559
674	38426	18501
675	38484	18445
676	38548	18391
677	38600	18332
678	38659	18276
679	38729	18225
680	38781	18166
681	38837	18108
682	38881	18045
683	38940	17990
684	38998	17933
685	39068	17882
686	39112	17820
687	39158	17758
688	39205	17696
689	39273	17644
690	39341	17592
691	39392	17533
692	39476	17488
693	39523	17426
694	39571	17366
695	39632	17310
696	39693	17255
697	39759	17202
698	39802	17139
699	39857	17081
700	39905	17020
701	39960	16963
702	40017	16906
703	40084	16853
704	40153	16801
705	40199	16740
706	40251	16681
707	40302	16622
708	40344	16559
709	40405	16503
710	40487	16456
711	40555	16404
712	40610	16346
713	40667	16289
714	40735	16237
715	40800	16183
716	40852	16124
717	40900	16064
718	40996	16022
719	41065	15969
720	41117	15910
721	41162	15849
722	41210	15788
723	41310	15748
724	41464	15727
